time,flux,flux_err
2457459.850721537,183903355.2147912,14029.29638360567
2457459.852804996,184542494.0243827,14032.645418583561
2457459.854888455,184894562.10747623,14045.586776567654
2457459.856971909,185057822.25745475,14050.67968155945
2457459.859055368,185205357.28557602,14055.921133399659
2457459.861138827,185335520.19041306,14061.237399446638
2457459.863222281,185413927.0784193,14063.130410961912
2457459.86530574,185508211.92539918,14070.023495518772
2457459.867389199,185496968.74766392,14075.583605820857
2457459.869472653,185537672.58190623,14086.753577645668
2457459.871556112,185572132.91405514,14110.313934373018
2457459.873639571,185604872.33333135,14137.28098742859
2457459.875723025,185615677.53739154,14172.189725473743
2457459.877806485,185612483.7348063,14253.601957502835
2457459.912102785,185276829.5877693,14086.89862283247
2457459.91418624,185455610.1995342,14073.703043431376
2457459.916269699,185496866.60501814,14070.978374140963
2457459.918353158,185530146.35041475,14069.895685244272
2457459.920436611,185561483.01176482,14070.090775143937
2457459.92252007,185591046.82972723,14070.544274219905
2457459.924603529,185572305.80415115,14070.111939167435
2457459.926686983,185595310.5190496,14070.25259150243
2457459.928770442,185632282.6504131,14072.349992279693
2457459.930853901,185623933.14628175,14070.598187340956
2457459.932937355,185600062.92119387,14072.484278083793
2457459.935020814,185629761.97717348,14075.036795441034
2457459.937104273,185610640.46839076,14097.262471014768
2457459.939187727,185576683.6205816,14124.310756538325
2457459.941271186,185606008.33579758,14154.822277910002
2457459.978344869,184306643.5674005,14046.340308087525
2457459.980428328,184447656.0851357,14031.733214018714
2457459.982511787,184453976.1988153,14029.375016439331
2457459.984595241,184464034.51951838,14029.390780410333
2457459.986678699,184536798.94236812,14030.936722375473
2457459.988762158,184479731.2044679,14026.906941206174
2457459.990845612,184483981.01497734,14027.08258343731
2457459.992929071,184496693.72234643,14027.356874571291
2457459.995012529,184492069.4975037,14028.1688601098
2457459.997095983,184488200.94787225,14028.126740580674
2457459.999179442,184477682.04070318,14026.812667346261
2457460.0012629,184485084.8036064,14025.03132550784
2457460.003346354,184497441.65021598,14043.202513094284
2457460.005429813,184502704.82473418,14074.322798919991
2457460.007513272,184506191.12838605,14102.850314899815
2457460.044598802,184218814.5253744,14043.482852321205
2457460.04668226,184401353.07990426,14031.093855294925
2457460.048765719,184449582.7259497,14029.401302471786
2457460.050849172,184467254.009364,14029.14157666513
2457460.052932631,184530178.16145042,14029.16638371081
2457460.05501609,184580012.49385828,14031.111505198647
2457460.057099543,184664393.67983913,14034.736195203046
2457460.059183002,184913393.82688537,14044.506777584156
2457460.06126646,185134831.97275573,14053.08768751574
2457460.063349913,185359480.54807132,14061.338839203456
2457460.065433372,185491955.8032566,14077.110505501809
2457460.06751683,185426980.1345445,14061.276223893632
2457460.069600284,185432373.16098288,14073.34827406972
2457460.071683742,185451140.11722392,14113.53861484395
2457460.073767201,185451145.9627408,14148.409402240079
2457460.110852728,185122222.77419394,14079.762497605574
2457460.112936186,185311297.56538135,14064.681366520392
2457460.115019645,185352454.38852194,14063.319981506105
2457460.117103098,185348750.4069628,14061.752841253658
2457460.119186556,185365479.30894983,14060.474268507436
2457460.121270015,185366659.41970402,14062.015341619324
2457460.123353468,185379786.40104383,14060.661411449626
2457460.125436927,185393353.77211177,14062.000712202842
2457460.127520385,185385528.1944017,14062.571619973733
2457460.129603838,185391167.87798783,14062.310846877774
2457460.131687296,185378033.39914712,14060.166288726972
2457460.133770755,185385912.59386164,14060.937306107764
2457460.135854208,185453240.3960092,14076.051921572085
2457460.137937666,185421900.98360136,14109.012207954684
2457460.140021125,185362219.79331926,14141.621083512562
